URI_Name,Provincia,Canton,Parroquia,Latitud,Longitud,Nombre,Direccion,Tipo,Regimen Escolar
COLEGIODEBACHILLERATOFISCOMISIONALNUESTRASEnORADELROSARIO,Loja_Province,CATAMAYO,CATAMAYO,-3,985747544220,-79,360696025000,COLEGIO DE BACHILLERATO FISCOMISIONAL NUESTRA SE�ORA DEL ROSARIO,9 DE OCTUBRE  EUGENIO ESPEJO 
COLEGIODEBACHILLERATOGALOROLANDOVELEZRIVERA,Loja_Province,ZAPOTILLO,PALETILLAS,-4,163887930520,-80,273224758300,COLEGIO DE BACHILLERATO GALO ROLANDO VELEZ RIVERA,   PARROQUIA PALETILLAS
COLEGIODEBACHILLERATOGUILLERMOHERRERASANCHEZ,Loja_Province,LOJA,TAQUIL(MIGUELRIOFRIO),-3,893275868640,-79,290136093900,COLEGIO DE BACHILLERATO GUILLERMO HERRERA SANCHEZ,   CENTRO TAQUIL
COLEGIODEBACHILLERATOHERNANGALLARDOMOSCOSO,Loja_Province,LOJA,SUCRE,-3,983691623330,-79,236997545300,COLEGIO DE BACHILLERATO HERNAN GALLARDO MOSCOSO,AV ISIDRO AYORA  BARQUISIMETO 
COLEGIODEBACHILLERATOJOSEFELIXDEVALDIVIESO,Loja_Province,GONZANAMA,SACAPALCA,-4,153556472590,-79,517860609300,COLEGIO DE BACHILLERATO JOSE FELIX DE VALDIVIESO,   TRAS LA ESCUELA CALIXTO CUEVA SANCHEZ
COLEGIODEBACHILLERATOJOSEMARIARIOFRIOYVALDIVIEZO,Loja_Province,SOZORANGA,NUEVAFATIMA,-4,267579819490,-79,819414780300,COLEGIO DE BACHILLERATO JOSE MARIA RIOFRIO Y VALDIVIEZO,   POBLACION DE LA PARROQUIA
COLEGIODEBACHILLERATOJULIOISAACESPINOZAOCHOA,Loja_Province,PUYANGO,ALAMOR,-4,18385217620,-80,18580916600,COLEGIO DE BACHILLERATO JULIO ISAAC ESPINOZA OCHOA,CALLE SIMON BOLIVAR ENTRE SUCRE Y JUAN MONTALVO  CALLE SUCHE  Y  RIO AMAZONAS 
COLEGIODEBACHILLERATOLAVICTORIA,Loja_Province,MACARA,LAVICTORIA,-4,436721960950,-79,793251805500,COLEGIO DE BACHILLERATO LA VICTORIA,   Localidad La victoria
COLEGIODEBACHILLERATOLAUTAROVICENTELOAYZA,Loja_Province,PUYANGO,ALAMOR,-4,9143133140,-80,74888215600,COLEGIO DE BACHILLERATO LAUTARO VICENTE LOAYZA,   COMUNIDAD DE NARANJAL A 200 METROS ANTES DEL CASERIO
COLEGIODEBACHILLERATOLIBERTADORBOLIVAR,Loja_Province,LOJA,JIMBILLA,-3,859999833490,-79,169809119400,COLEGIO DE BACHILLERATO LIBERTADOR BOLIVAR,   CENTRO PARROQUIA CERCA DEL SUBCENTRO DE SALUD
